county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero
51065,26014,3.025,77.475,15.9,0.025,0.55,7414.0,0.0,226.0,51.0,8155.0,15569.0,-4.759457897103218,Swing (Campo de Batalla),4.759457897103218
51095,70673,5.4545455,74.77273,14.463636,0.36363637,2.8272727,25553.0,0.0,710.0,223.0,23153.0,48706.0,4.927524329651377,Swing (Campo de Batalla),4.927524329651377
51103,11129,1.5666667,69.13333,27.8,0.0,0.36666667,3368.0,0.0,71.0,16.0,3697.0,7065.0,-4.656758669497523,Swing (Campo de Batalla),4.656758669497523
51179,137145,10.185185,68.066666,15.011111,0.37407407,2.5259259,40245.0,0.0,1376.0,372.0,37636.0,77881.0,3.3499826658620204,Swing (Campo de Batalla),3.3499826658620204
51680,78158,2.5894737,61.452633,30.78421,0.20526315,2.3157895,18048.0,0.0,857.0,362.0,17097.0,35145.0,2.705932565087495,Swing (Campo de Batalla),2.705932565087495
53009,72397,5.8190475,80.61905,0.9190476,7.233333,1.3333334,24721.0,241.0,894.0,346.0,23062.0,47783.0,3.471946089613461,Swing (Campo de Batalla),3.471946089613461
53045,60791,9.257143,77.75714,1.0214286,6.0928574,1.4,17269.0,175.0,888.0,261.0,18710.0,35979.0,-4.005114094332805,Swing (Campo de Batalla),4.005114094332805
53049,20645,8.6,84.185715,0.27142859,1.3428571,1.4,6794.0,46.0,201.0,70.0,6953.0,13747.0,-1.156615988943042,Swing (Campo de Batalla),1.156615988943042
53063,480832,5.0247617,85.78667,1.7542857,1.3466667,2.1590476,135765.0,1297.0,7147.0,2645.0,148576.0,284341.0,-4.505505713210547,Swing (Campo de Batalla),4.505505713210547
54061,101668,1.95,89.48333,3.6125,0.11666667,2.8041666,20282.0,191.0,796.0,0.0,20803.0,41085.0,-1.2681027138858463,Swing (Campo de Batalla),1.2681027138858463
55021,56607,2.95,93.683334,1.35,0.46666667,0.48333332,16410.0,15.0,421.0,96.0,16927.0,33337.0,-1.5508294087650358,Swing (Campo de Batalla),1.5508294087650358
55029,27731,2.7666667,94.422226,0.62222224,0.9222222,0.44444445,10044.0,10.0,231.0,80.0,9752.0,19796.0,1.4750454637300465,Swing (Campo de Batalla),1.4750454637300465
55045,37044,3.05,94.6625,0.275,0.1,0.6375,10851.0,10.0,271.0,105.0,10169.0,21020.0,3.2445290199809707,Swing (Campo de Batalla),3.2445290199809707
55059,167738,13.205714,75.39429,8.085714,0.36285713,1.1285714,42193.0,35.0,1037.0,501.0,44972.0,87165.0,-3.188206275454598,Swing (Campo de Batalla),3.188206275454598
