county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero,state_code,state_name,perc_white,perc_hispanic,perc_black,perc_native,perc_asian,Professional
27169,51213,2.64,92.06,1.5,0.34,2.37,13333.0,80.0,272.0,261.0,13227.0,26560.0,0.3990963855421687,Swing (Campo de Batalla),0.3990963855421687,27,Minnesota,0.1797590455548396,0.0051549411282291605,0.0029289438228574777,0.0006638939331810284,0.004627731240114815,31.99
28017,17391,4.1,51.6,43.45,0.05,0.375,3810.0,9.0,75.0,72.0,4175.0,7985.0,-4.571070757670633,Swing (Campo de Batalla),4.571070757670633,28,Mississippi,0.296705192340866,0.02357541256971997,0.2498418722327641,0.00028750503133804844,0.002156287735035363,18.55
28029,28921,2.6166666,45.15,51.1,0.016666668,0.43333334,6470.0,11.0,58.0,94.0,6250.0,12720.0,1.729559748427673,Swing (Campo de Batalla),1.729559748427673,28,Mississippi,0.15611493378513883,0.009047635282320804,0.1766882196327928,5.7628256284360844e-05,0.0014983345665779192,27.433333333333334
28061,16588,0.525,44.175,54.75,0.025,0.0,4341.0,6.0,30.0,57.0,4302.0,8643.0,0.4512322110378341,Swing (Campo de Batalla),0.4512322110378341,28,Mississippi,0.2663069688931758,0.003164938509766096,0.3300578731613214,0.00015071135760790934,0.0,23.8
28087,59699,2.3142858,48.557144,47.214287,0.2857143,0.6785714,13087.0,32.0,182.0,140.0,13800.0,26887.0,-2.6518391787852864,Swing (Campo de Batalla),2.6518391787852864,28,Mississippi,0.08133661200355115,0.003876590562655991,0.07908723261696175,0.00047859143369235666,0.0011366545503274763,28.5
28093,36385,2.8333333,43.35,53.033333,0.16666667,0.06666667,8057.0,27.0,48.0,119.0,7566.0,15623.0,3.1428022786916725,Swing (Campo de Batalla),3.1428022786916725,28,Mississippi,0.11914250377902984,0.007787091658650542,0.145756034079978,0.000458064229765013,0.00018322569740277585,22.683333333333334
28107,34373,1.45,47.716667,50.316666,0.033333335,0.05,7403.0,11.0,48.0,105.0,8060.0,15463.0,-4.248852098557848,Swing (Campo de Batalla),4.248852098557848,28,Mississippi,0.13882019899339598,0.00421842725394932,0.1463842725394932,9.697534402001572e-05,0.00014546300875687313,29.683333333333334
28113,40075,1.3625,47.7125,49.4,0.325,0.5125,8646.0,18.0,91.0,108.0,8479.0,17125.0,0.9751824817518248,Swing (Campo de Batalla),0.9751824817518248,28,Mississippi,0.11905801621958827,0.0033998752339363695,0.12326887086712415,0.0008109794135995009,0.0012788521522145975,26.9125
28149,48020,2.3333333,45.4,50.633335,0.075,0.875,10442.0,25.0,93.0,128.0,10365.0,20807.0,0.3700677656557889,Swing (Campo de Batalla),0.3700677656557889,28,Mississippi,0.09454394002498957,0.004859086422324031,0.10544218034152436,0.00015618492294877133,0.0018221574344023323,35.13333333333333
29047,230361,6.663636,82.093185,5.6227274,0.3840909,2.1431818,59400.0,360.0,2019.0,185.0,64605.0,124005.0,-4.197411394701827,Swing (Campo de Batalla),4.197411394701827,29,Missouri,0.035636754919452514,0.0028926927735163505,0.002440833040314984,0.0001667343430528605,0.0009303579164875997,35.50681818181818
29095,680905,9.392858,56.493877,29.170408,0.39591837,1.7811224,92182.0,678.0,3102.0,314.0,100142.0,192324.0,-4.138849025602629,Swing (Campo de Batalla),4.138849025602629,29,Missouri,0.008296880915839947,0.0013794667391192606,0.004284064296781489,5.814590434788994e-05,0.0002615816303302223,33.248979591836736
29165,93394,5.426316,82.71579,6.1894736,0.25789472,2.636842,27179.0,182.0,902.0,90.0,28917.0,56096.0,-3.098260125499144,Swing (Campo de Batalla),3.098260125499144,29,Missouri,0.08856649249416451,0.005810133413281367,0.006627271130907767,0.0002761362828447224,0.002823352677902221,43.22105263157895
30005,6598,2.325,40.225,0.225,55.125,0.0,1589.0,0.0,59.0,0.0,1469.0,3058.0,3.924133420536298,Swing (Campo de Batalla),3.924133420536298,30,,0.609654440739618,0.03523795089421037,0.003410124280084874,0.8354804486207943,0.0,36.575
30049,65357,2.8285713,91.73572,0.47857141,2.442857,0.47857141,19743.0,0.0,1113.0,0.0,21409.0,41152.0,-4.048405909797823,Swing (Campo de Batalla),4.048405909797823,30,,0.14036097128081154,0.004327878115580581,0.0007322420092721513,0.003737712869317747,0.0007322420092721513,44.128571428571426
30085,11072,1.6,46.733334,0.06666667,45.433334,0.16666667,1910.0,0.0,111.0,0.0,1996.0,3906.0,-2.2017409114183306,Swing (Campo de Batalla),2.2017409114183306,30,,0.4220857478323699,0.014450867052023123,0.0006021194906069364,0.41034441835260116,0.0015052986813583814,32.86666666666667
31173,6946,4.05,36.45,0.1,57.35,0.7,1122.0,0.0,23.0,0.0,1180.0,2302.0,-2.519548218940052,Swing (Campo de Batalla),2.519548218940052,31,Nebraska,0.5247624532104809,0.05830693924560899,0.0014396775122372588,0.8256550532680681,0.010077742585660812,35.0
32031,435019,22.26542,65.46822,2.1280375,1.7943925,5.004673,128052.0,0.0,3524.0,3727.0,116653.0,244705.0,4.658261988925441,Swing (Campo de Batalla),4.658261988925441,32,,0.015049508182401231,0.005118263799971955,0.0004891826563897209,0.000412486006358343,0.0011504492907206353,33.179245283018865
33003,47513,1.1090909,96.53636,0.34545454,0.09090909,0.57272726,16649.0,0.0,422.0,0.0,16150.0,32799.0,1.5213878471904632,Swing (Campo de Batalla),1.5213878471904632,33,,0.20317883526613767,0.0023342893523877676,0.0007270737271904531,0.00019133519247363878,0.0012054116978511143,32.02727272727273
33015,299006,2.525,93.421875,0.675,0.0890625,1.7640625,100064.0,0.0,2876.0,0.0,95858.0,195922.0,2.146772695256276,Swing (Campo de Batalla),2.146772695256276,33,,0.03124414727463663,0.0008444646595720487,0.00022574797830143877,2.9786191581439836e-05,0.0005899756192183434,42.971875
