county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN
48375,122352,36.28182,48.0697,9.690909,0.3151515,3.2484848,9921.0,126.0,454.0,16.0,22820.0
48377,7304,76.45,19.55,0.0,0.3,3.65,1463.0,12.0,21.0,0.0,721.0
48379,11037,8.55,85.55,2.45,0.75,0.6,842.0,13.0,43.0,0.0,5155.0
48381,126782,18.906897,74.36207,2.9068966,0.39310345,1.4103448,12802.0,129.0,910.0,37.0,50796.0
48383,3598,67.0,30.9,1.7,0.0,0.0,172.0,3.0,7.0,0.0,942.0
48385,3356,20.1,79.5,0.2,0.0,0.0,320.0,5.0,14.0,0.0,1643.0
48387,12567,6.1,77.375,14.1,0.45,0.075,1246.0,7.0,36.0,0.0,4517.0
48389,14179,74.08,21.4,3.0,0.24,0.6,1395.0,8.0,30.0,2.0,2254.0
48391,7277,49.25,42.95,5.9,0.1,0.1,1108.0,21.0,26.0,1.0,2210.0
48393,931,2.8,95.5,0.0,0.1,0.5,17.0,0.0,4.0,0.0,529.0
48395,16532,16.08,59.54,21.8,0.2,0.36,2374.0,13.0,66.0,0.0,5646.0
48397,85536,16.309092,73.41818,4.809091,0.23636363,2.5636363,16412.0,121.0,611.0,21.0,36726.0
48399,10445,31.625,65.05,1.4,0.4,1.175,552.0,11.0,39.0,0.0,3807.0
48401,53457,15.553846,65.176926,17.038462,0.5538462,0.5923077,4629.0,50.0,155.0,9.0,16534.0
48403,10440,3.3,87.53333,8.2,0.0,0.1,669.0,7.0,27.0,4.0,4784.0
48405,8695,6.8,69.1,21.9,1.2333333,0.033333335,980.0,2.0,13.0,0.0,3007.0
48407,27023,9.75,77.05,11.475,0.075,0.65,2337.0,39.0,101.0,2.0,10161.0
48409,66070,54.525,42.11875,1.45625,0.0875,0.94375,8988.0,93.0,291.0,3.0,16516.0
48411,5893,30.85,64.9,2.9,0.0,0.25,287.0,0.0,7.0,0.0,2308.0
48413,3224,50.5,49.1,0.1,0.0,0.2,211.0,2.0,6.0,0.0,940.0
48415,17238,39.125,55.425,3.775,0.15,0.3,818.0,15.0,53.0,1.0,4983.0
48417,3352,10.8,88.3,0.1,0.0,0.0,130.0,4.0,10.0,0.0,1484.0
48419,25725,15.433333,66.76667,16.3,0.016666668,0.76666665,2068.0,4.0,37.0,3.0,7975.0
48421,3066,41.7,55.8,0.2,0.7,0.0,91.0,5.0,9.0,1.0,886.0
48423,217552,19.88,57.535,19.7,0.325,1.4475,29615.0,254.0,1126.0,14.0,69080.0
48425,8608,18.25,80.55,0.4,0.15,0.0,768.0,10.0,56.0,8.0,4105.0
48427,62648,98.526665,1.1066667,0.04,0.0,0.10666667,9123.0,63.0,92.0,0.0,8247.0
48429,9452,23.2,72.6,2.7666667,0.6,0.43333334,397.0,2.0,16.0,0.0,3385.0
